1;Nazwa;Nazwa_IZFiA;Nazwa.2;Oplaty_biezace;Forma_prawna;TFI;Zarzadzajacy1;Od_kiedy1;Zarzadzajacy2;Od_kiedy2;Zarzadzajacy3;Od_kiedy3;Zarzadzajacy4;Od_kiedy4;Zarzadzajacy5;Od_kiedy5;Data_utworzenia;Pierwsza_wplata;Nastepna_wplata;Wycena;Aktywa;Lokalizacja;Profil;Benchmark;OZZ;OZN;OZU;OZW;TER;
1680;Arka Platinum Konserwatywny;Arka Platinum Konserwatywny;;1,82;FIO;Arka BZ WBK;Jacek Grel;01.10.2014;;;;;;;;;10.02.2012;1000;100;codziennie;178.6;zagraniczne;mieszane polskie;10% MSCI All Countries World Index + 65% G0PL + 15% BofA ML Global Government Bond + 10% WIBID 3M;1.8;0;;0;1.71;
1683;Arka Platinum Stabilny;Arka Platinum Stabilny;;2,34;FIO;Arka BZ WBK;Jacek Grel;01.10.2014;;;;;;;;;30.05.2006;1000;100;codziennie;82.2;zagraniczne;mieszane ;30% MSCI All Countries World Index + 45% G0PL +15% BofA ML Global Government Bond + 10% WIBID 3M;2.3;0;;0;2.24;
8558;Arka Presti¿ Akcji Amerykañskich;;;3,50;SFIO;Arka Presti¿;Jacek Grel;01.01.2018;;;;;;;;;30.01.2018;10000;1000;codziennie;7.4;zagraniczne;akcji ;95% MSCI USA Index USD + 5% 3M WIBID;2.5;0;;0;;
6776;Arka Presti¿ Akcji Europejskich;Arka Presti¿ Akcji Europejskich;;3,33;SFIO;Arka Presti¿;Jacek Grel;01.05.2016;;;;;;;;;19.02.2016;10000;1000;codziennie;118.2;zagraniczne;akcji ;fundusz nie posiada benchmarku;2.5;0;;0;2.69;
1692;Arka Presti¿ Akcji Polskich;Arka Presti¿ Akcji Polskich Subfundusz;;3,00;SFIO;Arka Presti¿;Szymon Borawski-Reks;01.11.2010;;;;;;;;;16.11.2010;10000;1000;codziennie;314.8;polskie;akcji ;95% WIG + 5% WIBID O/N;3;0;;0;3;
8557;Arka Presti¿ Akcji Rynków Wschodz¹cych;;;3,50;SFIO;Arka Presti¿;Jacek Grel;01.01.2018;;;;;;;;;30.01.2018;10000;1000;codziennie;4.1;zagraniczne;akcji ;95% MSCI Emerging Markets Index USD + 5% 3M WIBID;2.5;0;;0;;
1693;Arka Presti¿ Akcji Œrodkowej i Wschodniej Europy;Arka Presti¿ Akcji Œrodkowej i Wschodniej Europy Subfundusz;;3,27;SFIO;Arka Presti¿;Jacek Grel;01.01.2013;;;;;;;;;16.11.2010;10000;1000;codziennie;36.3;zagraniczne;akcji ;40% BIST 100 + 35% ATX +10% PX + 10% BUX + 5% WIBID O/N;3;0;;0;3.54;
8556;Arka Presti¿ Alfa;;;3,00;SFIO;Arka Presti¿;Jakub P³otka;01.01.2018;;;;;;;;;30.01.2018;10000;1000;codziennie;177.6;zagraniczne;absolutnej stopy zwrotu;100% WIBID 3M;2;0;;0;;
6777;Arka Presti¿ Europejskich Spó³ek Dywidendowych;Arka Presti¿ Europejskich Spó³ek Dywidendowych;;3,58;SFIO;Arka Presti¿;Jacek Grel;01.05.2016;;;;;;;;;19.02.2016;10000;1000;codziennie;30.1;zagraniczne;akcji ;fundusz nie posiada benchmarku;2.5;0;;0;2.87;
1694;Arka Presti¿ Gotówkowy;Arka Presti¿ Gotówkowy;;0,95;SFIO;Arka Presti¿;Pawe³ Pisarczyk;01.12.2014;;;;;;;;;22.11.2013;10000;1000;codziennie;1067.8;polskie;gotówkowe i pieniê¿ne ;100% WIBID 3M;0.8;0;;0;0.95;
1695;Arka Presti¿ Obligacji Korporacyjnych;Arka Presti¿ Obligacji Korporacyjnych Subfundusz;;1,80;SFIO;Arka Presti¿;Pawe³ Pisarczyk;01.12.2014;;;;;;;;;27.05.2011;10000;1000;codziennie;4093.4;polskie;d³u¿ne ;100% WIBID 3M + 100 punktów bazowych;1.8;0;;0;1.8;
8555;Arka Presti¿ Obligacji Korporacyjnych Globalny;;;2,00;SFIO;Arka Presti¿;Pawe³ Pisarczyk;01.02.2018;;;;;;;;;05.02.2018;20000;1000;codziennie;2.5;zagraniczne;d³u¿ne ;95% BofA Merrill Lynch Global Corporate Index zabezpieczony do z³otego + 5% 3M WIBID;1;0;;0;;
1696;Arka Presti¿ Obligacji Skarbowych;Arka Presti¿ Obligacji Skarbowych Subfundusz;;1,51;SFIO;Arka Presti¿;Micha³ Ho³da;01.01.2016;;;;;;;;;16.11.2010;10000;1000;codziennie;317.6;polskie;d³u¿ne ;100% ICE BofAML Poland Government Index;1.5;0;;0;1.51;
8554;Arka Presti¿ Technologii i Innowacji;;;3,50;SFIO;Arka Presti¿;Jacek Grel;01.02.2018;;;;;;;;;05.02.2018;20000;1000;codziennie;8;zagraniczne;akcji ;70% MSCI World Information Technology Index USD + 25% WIG Informatyka + 5% 3M WIBID;2.5;0;;0;;
8553;Arka Strategia Akcyjna;;;1,40;SFIO;Arka Presti¿;Szymon Borawski-Reks;01.02.2018;Bartosz Dêbowski;01.02.2018;Jacek Grel;01.02.2018;Micha³ Ho³da;01.02.2018;Pawe³ Pisarczyk;01.02.2018;09.02.2018;1000;500;codziennie;1.3;polskie;akcji ;fundusz nie posiada benchmarku;0.4;0;;0;;
8552;Arka Strategia Dynamiczna;;;1,30;SFIO;Arka Presti¿;Szymon Borawski-Reks;01.02.2018;Bartosz Dêbowski;01.02.2018;Jacek Grel;01.02.2018;Micha³ Ho³da;01.02.2018;Pawe³ Pisarczyk;01.02.2018;09.02.2018;1000;500;codziennie;1.9;zagraniczne;mieszane polskie;fundusz nie posiada benchmarku;0.3;0;;0;;
8551;Arka Strategia Konserwatywna;;;1,10;SFIO;Arka Presti¿;Szymon Borawski-Reks;01.02.2018;Bartosz Dêbowski;01.02.2018;Jacek Grel;01.02.2018;Micha³ Ho³da;01.02.2018;Pawe³ Pisarczyk;01.02.2018;05.02.2018;1000;500;codziennie;22.5;zagraniczne;mieszane polskie;fundusz nie posiada benchmarku;0.1;0;;0;;
8550;Arka Strategia Stabilna;;;1,20;SFIO;Arka Presti¿;Szymon Borawski-Reks;01.02.2018;Bartosz Dêbowski;01.02.2018;Jacek Grel;01.02.2018;Micha³ Ho³da;01.02.2018;Pawe³ Pisarczyk;01.02.2018;09.02.2018;1000;500;codziennie;3.6;zagraniczne;mieszane polskie;fundusz nie posiada benchmarku;0.2;0;;0;;
2163;Aviva Investors Aktywnej Alokacji;Aviva Investors FIO Aktywnej Alokacji;;2,07;FIO;Aviva Investors;Marcin Mê¿ykowski;01.04.2008;Grzegorz Lata³a;01.04.2008;Rados³aw Ga³ecki;01.03.2010;;;;;05.10.2004;1000;100;codziennie;119.7;zagraniczne;mieszane ;fundusz nie posiada benchmarku;2;1;0;10;2.85;
2174;Aviva Investors Depozytowy;;;1,16;FIO;Aviva Investors;Rados³aw Ga³ecki;01.12.2017;Grzegorz Lata³a;01.12.2017;Marcin Mê¿ykowski;01.12.2017;;;;;28.11.2014;1000;100;codziennie;19.7;polskie;gotówkowe i pieniê¿ne ;100% Citigroup PLN 3 Month Eurodeposit Local Currency;0.8;0;0;0;;
2164;Aviva Investors Depozyt Plus;Aviva Investors Depozyt Plus;;1,01;FIO;Aviva Investors;Grzegorz Lata³a;01.07.2003;Marcin Mê¿ykowski;01.11.2007;Rados³aw Ga³ecki;01.03.2010;;;;;08.04.2002;1000;100;codziennie;187.4;polskie;gotówkowe i pieniê¿ne ;100% Citigroup PLN 1 Month Eurodeposit Local Currency;1;1;0;0;1.01;
2165;Aviva Investors D³u¿nych Papierów Korporacyjnych;Aviva Investors D³u¿nych Papierów Korporacyjnych;;1,01;FIO;Aviva Investors;Marcin Mê¿ykowski;01.11.2011;Rados³aw Ga³ecki;01.11.2011;Grzegorz Lata³a;01.11.2011;;;;;18.11.2011;1000;100;codziennie;1053.9;polskie;d³u¿ne ;100% Citigroup PLN 6 Month Eurodeposit Local Currency powiêkszony o 0,6% w skali roku;1;1;0;10;1.18;
2166;Aviva Investors Europejskich Akcji;;;4,52;FIO;Aviva Investors;Dawid Fr¹czek;01.04.2008;Rafa³ Janczyk;01.04.2008;£ukasz Kurek;01.04.2008;Marek KaŸmierczak;01.03.2011;Piotr Friebe;01.10.2015;08.04.2008;1000;100;codziennie;9.3;zagraniczne;akcji ;fundusz nie posiada benchmarku;4;4.5;0;0;4.38;
2167;Aviva Investors Globalnych Akcji;;;2,97;FIO;Aviva Investors;Dawid Fr¹czek;01.05.2011;Rafa³ Janczyk;01.05.2011;Marek KaŸmierczak;01.05.2011;£ukasz Kurek;01.05.2011;Piotr Friebe;01.10.2015;31.05.2011;1000;100;codziennie;26;zagraniczne;akcji ;fundusz nie posiada benchmarku;2;3;0;0;2.25;
2169;Aviva Investors Ma³ych Spó³ek;Aviva Investors Ma³ych Spó³ek;;4,03;FIO;Aviva Investors;Dawid Fr¹czek;01.04.2008;Rafa³ Janczyk;01.04.2008;£ukasz Kurek;01.04.2008;Marek KaŸmierczak;01.03.2011;Piotr Friebe;01.10.2015;08.04.2008;1000;100;codziennie;111.7;polskie;akcji ;90% sWIG80 + 10% Citigroup PLN 1 Month Eurodeposit Local Currency;4;4.5;0;0;4.03;
2170;Aviva Investors Nowoczesnych Technologii;Aviva Investors Nowoczesnych Technologii;;4,04;FIO;Aviva Investors;Dawid Fr¹czek;01.04.2008;Rafa³ Janczyk;01.04.2008;£ukasz Kurek;01.04.2008;Marek KaŸmierczak;01.03.2011;Piotr Friebe;01.10.2015;08.04.2008;1000;100;codziennie;115.3;polskie;akcji ;40% WIG + 25% WIG Media + 25% WIG Informatyka + 10% Citigroup PLN 1 Month Eurodeposit Local Currency;4;4.5;0;0;4.04;
2171;Aviva Investors Nowych Spó³ek;Aviva Investors Nowych Spó³ek;;4,04;FIO;Aviva Investors;£ukasz Kurek;01.04.2008;Dawid Fr¹czek;01.04.2008;Rafa³ Janczyk;01.04.2008;Marek KaŸmierczak;01.03.2011;Piotr Friebe;01.10.2015;08.04.2008;1000;100;codziennie;92.2;polskie;akcji ;90% WIG + 10% Citigroup PLN 1 Month Eurodeposit Local Currency;4;4.5;0;0;4.04;
2172;Aviva Investors Obligacji;Aviva Investors  Obligacji;;1,76;FIO;Aviva Investors;Grzegorz Lata³a;01.07.2003;Marcin Mê¿ykowski;01.11.2007;Rados³aw Ga³ecki;01.03.2010;;;;;08.04.2002;1000;100;codziennie;726.1;polskie;d³u¿ne ;80% Citigroup Poland Government Bond Index All Maturities Local + 20% Citigroup PLN 1 Month Eurodeposit Local Currency;1.75;2;0;0;1.76;
2173;Aviva Investors Obligacji Dynamiczny;Aviva Investors Obligacji Dynamiczny;;1,52;FIO;Aviva Investors;Marcin Mê¿ykowski;01.11.2011;Rados³aw Ga³ecki;01.11.2011;Grzegorz Lata³a;01.11.2011;;;;;18.11.2011;1000;100;codziennie;561.8;polskie;d³u¿ne ;fundusz nie posiada benchmarku;1.5;2;0;10;1.81;
2175;Aviva Investors Ochrony Kapita³u Plus;Aviva Investors Ochrony Kapita³u Plus;;2,55;FIO;Aviva Investors;Rafa³ Janczyk;01.10.2004;Dawid Fr¹czek;01.04.2008;£ukasz Kurek;01.04.2008;Marek KaŸmierczak;01.03.2011;Piotr Friebe;01.10.2015;06.10.2004;1000;100;codziennie;50.4;zagraniczne;mieszane polskie;20% WIG + 80% Citigroup Poland GBI 1 to 5 Year Local Terms;2.5;2.5;0;0;2.55;
2176;Aviva Investors Optymalnego Wzrostu;Aviva Investors Optymalnego Wzrostu;;2,61;FIO;Aviva Investors;£ukasz Kurek;01.05.2010;Rafa³ Janczyk;01.05.2010;Dawid Fr¹czek;01.05.2010;Marek KaŸmierczak;01.03.2011;Piotr Friebe;01.10.2015;10.05.2010;1000;100;codziennie;20.4;zagraniczne;mieszane ;fundusz nie posiada benchmarku;2.5;3.5;0;10;2.61;
2178;Aviva Investors Polskich Akcji;Aviva Investors  Polskich Akcji;;4,03;FIO;Aviva Investors;Rafa³ Janczyk;01.05.2002;£ukasz Kurek;01.04.2008;Dawid Fr¹czek;01.04.2008;Marek KaŸmierczak;01.03.2011;Piotr Friebe;01.10.2015;08.04.2002;1000;100;codziennie;793.9;polskie;akcji ;90% WIG + 10% Citigroup PLN 1 Month Eurodeposit Local Currency;4;4.5;0;0;4.03;
2168;Aviva Investors SFIO Lokacyjny;Aviva Investors Lokacyjny;;0,26;SFIO;Aviva Investors;Rados³aw Ga³ecki;01.08.2016;Grzegorz Lata³a;01.08.2016;Marcin Mê¿ykowski;01.08.2016;;;;;22.08.2016;1000;100;codziennie;358.2;polskie;d³u¿ne ;100% Citigroup PLN 3 Month Eurodeposit Local Currency;0.25;0;0;0;0.26;
2184;Aviva Investors Stabilnego Inwestowania;Aviva Investors  Stabilnego Inwestowania;;3,03;FIO;Aviva Investors;Rafa³ Janczyk;01.05.2002;£ukasz Kurek;01.04.2008;Dawid Fr¹czek;01.04.2008;Marek KaŸmierczak;01.03.2011;Piotr Friebe;01.10.2015;08.04.2002;1000;100;codziennie;293.9;zagraniczne;mieszane polskie;70% Citigroup Poland GBI 1 to 5 Year Local Terms + 30% WIG;3;3;0;0;3.03;
2185;Aviva Investors Zrównowa¿ony;Aviva Investors Zrównowa¿ony;;3,56;FIO;Aviva Investors;Rafa³ Janczyk;01.01.2007;£ukasz Kurek;01.04.2008;Dawid Fr¹czek;01.04.2008;Marek KaŸmierczak;01.03.2011;Piotr Friebe;01.10.2015;29.12.2006;1000;100;codziennie;71.8;zagraniczne;mieszane polskie;50% WIG + 50% Citigroup Poland GBI 1 to 5 Year Local Terms;3.5;3.5;0;0;3.56;
2177;Aviva Oszczêdnoœciowy;Aviva Oszczêdnoœciowy;;1,59;SFIO;Aviva;Rados³aw Ga³ecki;01.11.2015;Marcin Mê¿ykowski;01.11.2015;Grzegorz Lata³a;01.11.2015;;;;;12.11.2015;1000;100;codziennie;371;zagraniczne;absolutnej stopy zwrotu;fundusz nie posiada benchmarku;0.95;0;0;0;0.96;
6778;AXA Akcji Amerykañskich;;;1,50;SFIO;AXA;Karol Paczuski;01.11.2017;Andrzej Nowak;01.11.2017;Grzegorz Parosa;01.11.2017;Sebastian Liñski;01.11.2017;Pawe³ Mizerski;01.11.2017;03.11.2017;100;100;codziennie;5.8;zagraniczne;akcji ;fundusz nie posiada benchmarku;1.5;3.5;0;0;;
1470;AXA Akcji;AXA FIO Subfundusz Akcji;;4,25;FIO;AXA;Pawe³ Mizerski;01.07.2010;Sebastian Liñski;01.04.2014;Grzegorz Parosa;01.04.2015;Andrzej Nowak;01.04.2016;Karol Paczuski;01.04.2016;05.07.2010;100;100;codziennie;271.9;polskie;akcji ;95% WIG + 5% WIBID O/N, pomniejszone o koszty zarz¹dzania;4;5;0;0;4.25;
6779;AXA Akcji Europejskich Ma³ych Spó³ek;;;1,50;SFIO;AXA;Karol Paczuski;01.11.2017;Andrzej Nowak;01.11.2017;Grzegorz Parosa;01.11.2017;Sebastian Liñski;01.11.2017;Pawe³ Mizerski;01.11.2017;03.11.2017;100;100;codziennie;73.4;zagraniczne;akcji ;fundusz nie posiada benchmarku;1.5;2;0;0;;
1472;AXA Akcji Ma³ych i Œrednich Spó³ek;AXA FIO Subfundusz Akcji Ma³ych I Œrednich Spó³ek;;4,19;FIO;AXA;Pawe³ Mizerski;01.03.2014;Sebastian Liñski;01.04.2014;Grzegorz Parosa;01.04.2015;Karol Paczuski;01.04.2016;Andrzej Nowak;01.04.2016;11.03.2014;100;100;codziennie;115.2;polskie;akcji ;90% mWIG40 + 10% WIBID O/N, uwzglêdniaj¹cy dochód z dywidend pomniejszone o koszty zarz¹dzania;4;5;0;0;4.19;
NA;AXA Akcji Rynków Wschodz¹cych;;;2,96;FIO;AXA;Pawe³ Mizerski;01.03.2014;Sebastian Liñski;01.04.2014;Grzegorz Parosa;01.04.2015;Karol Paczuski;01.04.2016;Andrzej Nowak;01.04.2016;11.03.2014;100;100;codziennie;11;zagraniczne;akcji ;fundusz nie posiada benchmarku;1.9;Op³ata manipulacyjn;Prowizja pobierana przez dystrybutora przy zakupie jednostek b¹dŸ certyfikatów funduszu inwestycyjnego. b¹dŸ w momencie ich sprzeda¿;0;;
6780;AXA Amerykañskich Obligacji Korporacyjnych;;AXA FIO Subfundusz Akcji Spó³ek Dywidendowych;1,20;SFIO;AXA;Karol Paczuski;01.11.2017;Andrzej Nowak;01.11.2017;Grzegorz Parosa;01.11.2017;Sebastian Liñski;01.11.2017;Pawe³ Mizerski;01.11.2017;03.11.2017;100;100;codziennie;25.5;zagraniczne;d³u¿ne ;fundusz nie posiada benchmarku;1.2;3.5;0;0;;
6781;AXA Globalnej Makroalokacji;;;1,80;SFIO;AXA;Karol Paczuski;01.11.2017;Andrzej Nowak;01.11.2017;Grzegorz Parosa;01.11.2017;Sebastian Liñski;01.11.2017;Pawe³ Mizerski;01.11.2017;03.11.2017;100;100;codziennie;5.3;zagraniczne;absolutnej stopy zwrotu;fundusz nie posiada benchmarku;1.8;4;0;0;;
6783;AXA Globalnych Strategii D³u¿nych;;;1,50;SFIO;AXA;Karol Paczuski;01.11.2017;Andrzej Nowak;01.11.2017;Grzegorz Parosa;01.11.2017;Sebastian Liñski;01.11.2017;Pawe³ Mizerski;01.11.2017;03.11.2017;100;100;codziennie;25.8;zagraniczne;d³u¿ne ;fundusz nie posiada benchmarku;1.5;2;0;0;;
6782;AXA Globalny Akcji;;;2,00;SFIO;AXA;Karol Paczuski;01.11.2017;Andrzej Nowak;01.11.2017;Grzegorz Parosa;01.11.2017;Sebastian Liñski;01.11.2017;Pawe³ Mizerski;01.11.2017;03.11.2017;100;100;codziennie;31.7;zagraniczne;akcji ;fundusz nie posiada benchmarku;2;5;0;0;;
1478;AXA Lokacyjny;AXA FIO Subfundusz Lokacyjny;;0,90;FIO;AXA;Pawe³ Mizerski;01.07.2010;Sebastian Liñski;01.04.2014;Grzegorz Parosa;01.04.2015;Karol Paczuski;01.04.2016;Andrzej Nowak;01.04.2016;05.07.2010;100;100;codziennie;348.9;polskie;gotówkowe i pieniê¿ne ;100% WIBID 3M, pomniejszone o koszty zarz¹dzania;0.8;0;0;0;0.88;
1482;AXA Makro Alokacji;AXA FIO Subfundusz Makro Alokacji;;3,98;FIO;AXA;Pawe³ Mizerski;01.07.2010;Sebastian Liñski;01.04.2014;Grzegorz Parosa;01.04.2015;Karol Paczuski;01.04.2016;Andrzej Nowak;01.04.2016;05.07.2010;100;100;codziennie;104.5;zagraniczne;mieszane polskie;fundusz nie posiada benchmarku;3.75;4;0;0;4.13;
1484;AXA Obligacji;AXA FIO Subfundusz Obligacji;;1,58;FIO;AXA;Pawe³ Mizerski;01.07.2010;Sebastian Liñski;01.04.2014;Grzegorz Parosa;01.04.2015;Karol Paczuski;01.04.2016;Andrzej Nowak;01.04.2016;05.07.2010;100;100;codziennie;451.4;polskie;d³u¿ne ;100% Treasury BondSpot Poland Index, pomniejszone o koszty zarz¹dzania;1.5;2;0;0;1.58;
1486;AXA Obligacji Korporacyjnych;AXA FIO Subfundusz Obligacji Korporacyjnych;;1,67;FIO;AXA;Pawe³ Mizerski;01.10.2012;Sebastian Liñski;01.04.2014;Grzegorz Parosa;01.04.2015;Karol Paczuski;01.04.2016;Andrzej Nowak;01.04.2016;05.07.2010;100;100;codziennie;80.9;polskie;d³u¿ne ;100% WIBID 3M + 50 pb, pomniejszone o koszty zarz¹dzania;1.5;2;0;0;1.5;
1491;AXA Selective Equity;AXA FIO Subfundusz Selective Equity;;4,17;FIO;AXA;Pawe³ Mizerski;01.07.2010;Sebastian Liñski;01.04.2014;Grzegorz Parosa;01.04.2015;Karol Paczuski;01.04.2016;Andrzej Nowak;01.04.2016;05.07.2010;100;100;codziennie;146;zagraniczne;akcji ;fundusz nie posiada benchmarku;4;5;0;0;4.51;
1494;AXA Selektywny Akcji Polskich;AXA FIO Subfundusz Sektywny Akcji Polskich;;4,30;FIO;AXA;Pawe³ Mizerski;01.07.2010;Sebastian Liñski;01.04.2014;Grzegorz Parosa;01.04.2015;Karol Paczuski;01.04.2016;Andrzej Nowak;01.04.2016;05.07.2010;100;100;codziennie;92.5;polskie;akcji ;95% WIG + 5% WIBID O/N, pomniejszone o koszty zarz¹dzania;4;5;0;0;4.3;
1496;AXA Stabilnego Wzrostu;AXA FIO Subfundusz Stabilnego Wzrostu;;3,54;FIO;AXA;Pawe³ Mizerski;01.07.2010;Sebastian Liñski;01.04.2014;Grzegorz Parosa;01.04.2015;Karol Paczuski;01.04.2016;Andrzej Nowak;01.04.2016;05.07.2010;100;100;codziennie;112.2;zagraniczne;mieszane polskie;fundusz nie posiada benchmarku;3.25;3.5;0;0;3.75;
1611;BG¯ BNP Paribas Aktywnego Inwestowania;BG¯ BNP Paribas FIO Subfundusz Aktywnego Inwestowania;;2,15;FIO;BG¯ BNP Paribas;Grzegorz Dobek;01.03.2016;Piotr Zaga³a;01.03.2016;;;;;;;31.03.2016;200;100;codziennie;311.4;zagraniczne;mieszane polskie;10% WIG20 + 90% WIBID 6M;2.9;2;0;10;2.66;
1612;BG¯ BNP Paribas Dynamicznego Inwestowania;BG¯ BNP Paribas FIO Subfundusz Dynamicznego Inwestowania;;3,98;FIO;BG¯ BNP Paribas;Grzegorz Dobek;01.03.2016;Piotr Zaga³a;01.03.2016;;;;;;;31.03.2016;200;100;codziennie;128.3;polskie;akcji ;60% WIG20 + 30% mWIG40 + 10% WIBID O/N;3.8;2.5;0;20;3.99;
1613;BG¯ BNP Paribas Globalny Dynamicznego Wzrostu;BG¯ BNP Paribas FIO Subfundusz Globalny Dynamicznego Wzrostu;;3,48;FIO;BG¯ BNP Paribas;Grzegorz Dobek;01.03.2016;Piotr Zaga³a;01.03.2016;Rafa³ Lerski;01.01.2018;;;;;31.03.2016;200;100;codziennie;42.8;zagraniczne;akcji ;40% S&P500 + 30% Euro Stoxx 50 + 20% MSCI Emerging Markets + 10% WIBID O/N;3.6;2.5;0;20;3.48;
1614;BG¯ BNP Paribas Globalny Stabilnego Wzrostu;BG¯ BNP Paribas FIO Subfundusz Globalny Stabilnego Wzrostu;;2,98;FIO;BG¯ BNP Paribas;Grzegorz Dobek;01.03.2016;Piotr Zaga³a;01.03.2016;;;;;;;31.03.2016;200;100;codziennie;201.1;zagraniczne;mieszane ;30% Barclays US Aggregate Bond Index + 30% Barclays Euro-Aggregate Bond Index + 13% S&P500 + 10% Euro Stoxx 50 + 10% WIBID O/N + 7% MSCI Emerging Markets;3;2;0;20;2.98;
1615;BG¯ BNP Paribas Obligacji;BG¯ BNP Paribas FIO Subfundusz Obligacji;;1,68;FIO;BG¯ BNP Paribas;Grzegorz Dobek;01.03.2016;Piotr Zaga³a;01.03.2016;;;;;;;31.03.2016;200;100;codziennie;279.8;polskie;d³u¿ne ;80% TBSP Index + 20% WIBID O/N;1.5;1.5;0;20;1.68;
1616;BG¯ BNP Paribas Pieniê¿ny;BG¯ BNP Paribas FIO Subfundusz Pieniê¿ny;;1,13;FIO;BG¯ BNP Paribas;Grzegorz Dobek;01.03.2016;Piotr Zaga³a;01.03.2016;;;;;;;31.03.2016;200;100;codziennie;737.4;polskie;gotówkowe i pieniê¿ne ;100% WIBID 6M;1;0.5;0;0;1.13;
1617;BG¯ BNP Paribas Stabilnego Inwestowania;BG¯ BNP Paribas FIO Subfundusz Stabilnego Inwestowania;;2,94;FIO;BG¯ BNP Paribas;Grzegorz Dobek;01.03.2016;Piotr Zaga³a;01.03.2016;;;;;;;31.03.2016;200;100;codziennie;12.3;zagraniczne;mieszane polskie;55% TBSP Index + 30% WIG20 + 15% WIBID O/N;3;2;0;20;2.97;
1618;BG¯ Konserwatywny;BG¯ SFIO Konserwatywny;;0,92;SFIO;BG¯;Grzegorz Dobek;01.01.2016;Piotr Zaga³a;01.01.2016;;;;;;;15.05.2014;100;100;codziennie;20.2;polskie;d³u¿ne ;fundusz nie posiada benchmarku;0.4;1;0;0;0.92;
1619;BG¯ Lokata Kapita³u;;;1,10;SFIO;BG¯;Grzegorz Dobek;01.01.2016;Piotr Zaga³a;01.01.2016;;;;;;;15.05.2014;100;100;codziennie;62.6;polskie;d³u¿ne ;fundusz nie posiada benchmarku;0.9;0.5;0;0;1.1;
1620;BG¯ Ma³ych i Œrednich Spó³ek;;;1,80;SFIO;BG¯;Grzegorz Dobek;01.01.2016;Piotr Zaga³a;01.01.2016;;;;;;;15.05.2014;100;100;codziennie;2.1;polskie;akcji ;fundusz nie posiada benchmarku;0.75;2;0;0;1.86;
1621;BG¯ Zdywersyfikowanych Aktywów;;;1,56;SFIO;BG¯;Grzegorz Dobek;01.01.2016;Piotr Zaga³a;01.01.2016;Rafa³ Lerski;01.11.2017;;;;;15.05.2014;100;100;codziennie;2.5;zagraniczne;mieszane ;fundusz nie posiada benchmarku;0.6;1.5;0;0;1.53;
1622;BNP Paribas Akcji;BNP Paribas FIO Subfundusz BNP Paribas Akcji;;2,66;FIO;BNP Paribas;Grzegorz Dobek;01.01.2015;Piotr Zaga³a;01.08.2015;;;;;;;18.01.2005;200;100;codziennie;27.4;polskie;akcji ;100% WIG20;2;2.5;0;20;2.66;
1623;BNP Paribas Papierów D³u¿nych;BNP Paribas FIO Subfundusz BNP Paribas Papierów D³u¿nych;;1,74;FIO;BNP Paribas;Grzegorz Dobek;01.01.2015;Piotr Zaga³a;01.08.2015;;;;;;;21.12.2010;200;100;codziennie;6.3;polskie;d³u¿ne ;100% Treasury BondSpot Poland;1;1.5;0;10;1.74;
1624;BNP Paribas Stabilnego Wzrostu;BNP Paribas FIO Subfundusz BNP Paribas Stabilnego Wzrostu;;2,98;FIO;BNP Paribas;Grzegorz Dobek;01.01.2015;Piotr Zaga³a;01.08.2015;Rafa³ Lerski;01.01.2018;;;;;18.01.2005;200;100;codziennie;15.7;zagraniczne;mieszane polskie;55% TBSP Index + 30% WIG20 + 15% WIBID O/N;2;2;0;20;2.99;
1648;BPS Akcji;BPS Akcji;;4,17;FIO;BPS;Kacper ¯ak;01.09.2016;;;;;;;;;10.05.2011;100;50;codziennie;17.8;polskie;akcji ;95% WIG + 5% WIBID 3M;4;4;0;0;4.17;
1652;BPS Akcji Polskich;;;0,05;SFIO;BPS;Kacper ¯ak;01.07.2017;;;;;;;;;10.07.2017;100;50;codziennie;3.7;polskie;akcji ;95% WIG + 5% WIBID 3M;1.5;0;0;20;;
1653;BPS Depozytowy;;;0,05;SFIO;BPS;Izabela Sajdak;01.08.2017;;;;;;;;;10.07.2017;100;50;codziennie;23.5;polskie;d³u¿ne ;fundusz nie posiada benchmarku;0.7;0;0;0;;
1649;BPS Obligacji;BPS Obligacji;;1,33;FIO;BPS;Izabela Sajdak;01.08.2017;;;;;;;;;10.05.2011;100;50;codziennie;19;polskie;d³u¿ne ;Bloomberg Barclays Series E Poland Govt All& 1 Yr Bond Index + 20% WIBID 3M;1.2;2;0;0;1.33;
1654;BPS Obligacji Korporacyjnych;BPS Obligacji Korporacyjnych;;1,09;SFIO;BPS;Izabela Sajdak;01.08.2017;;;;;;;;;26.09.2013;100;50;codziennie;15.6;polskie;d³u¿ne ;100% WIBID 6M + 1 pkt. proc.;0.95;0;0;20;1.42;
1650;BPS Pieniê¿ny;BPS Pieniê¿ny;;0,95;FIO;BPS;Izabela Sajdak;01.08.2017;;;;;;;;;10.05.2011;100;50;codziennie;82;polskie;gotówkowe i pieniê¿ne ;100% WIBID 3M;0.9;0;0;0;0.95;
1655;BPS P³ynnoœciowy;BPS P³ynnoœciowy;;0,80;SFIO;BPS;Izabela Sajdak;01.08.2017;;;;;;;;;26.09.2013;100;50;codziennie;26.7;polskie;gotówkowe i pieniê¿ne ;100% WIBID 1M, pomniejszony o stawkê rezerwy obowi¹zkowej;0.65;0;0;20;1.67;
