Lp;Nazwa_funduszu;Forma_prawna;Rok_uruchomienia;Jak_czesto_wycena_SFIO;Udzial_akcji;Oplata_za_zarzadzanie;TER;Oplaty_biezace;Typ;Pierwsza_wplata;Nastepna_wplata;Benchmark;Benchmark_2;Benchmark_3;Benchmark_4;Benchmark_5;Benchmark_6;Benchmark_7;Benchmark_8;Aktywa;Oplata_za_nabycie;Oplata_za_umorzenie;Oplata_za_wynik;Oplata_za_wynik_2;Polityka_inwestycyjna_(min._akcji);Inne;Inne_2;Inne_3;Nazwa_IZFiA;TFI
238;Aviva Investors Obligacji Dynamiczny (Aviva Investors FIO);FIO;2011;;;1.5;1.8;1.52;d³u¿ne;1000;100;nie ma;;;;;;;;625.2;2;0;10%;wzrostu ponad Citigroup PLN 3 Month Eur Deposit Local Currency;;ozn spada do 0.25% przy 1 000 000;min. 50% d³u¿nych;;Aviva Investors Obligacji Dynamiczny;Aviva
239;Aviva Investors Obligacji Zamiennych (Aviva Investors FIO);FIO;2014;;;1.75;1.97;1.98;d³u¿ne;1000;100;nie ma;;;;;;;;4.1;2;0;20%;wzrostu ponad Citigroup PLN 3 Month Eur Deposit Local Currency;;ozn spada do 0.25% przy 1 000 000;;;Aviva Investors Obligacji Zamiennych;Aviva
240;Aviva Investors Ochrony Kapita³u Plus (Aviva Investors FIO);FIO;2004;;26.28;2.5;2.55;2.55;mieszane;1000;100;80% Citigroup Poland GBI 1 to 5 Year Local Terms;20% WIG;;;;;;;69;3;0;;;max. 30%;ozn spada do 0.25% przy 1 000 000;;;Aviva Investors Ochrony Kapita³u Plus;Aviva
241;Aviva Investors Optymalnego Wzrostu (Aviva Investors FIO);FIO;2010;;66.08;2.5;2.57;2.57;mieszane;1000;100;nie ma;;;;;;;;31;4;0;10%;wzrostu w ci¹gu roku;;ozn spada do 0.3% przy 1 000 000;;;Aviva Investors Optymalnego Wzrostu;Aviva
31;Aviva Investors Polskich Akcji (Aviva Investors FIO);FIO;2002;;81.18;4;4.05;4.02;akcji;1000;100;90% WIG;10% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;;;873.7;5;0;;;60%;ozn spada do 0.4% przy 1 000 000;;;Aviva Investors  Polskich Akcji;Aviva
242;Aviva Investors SFIO Lokacyjny;SFIO;2016;;;0.25;;0.27;d³u¿ne;500000;1000;100% Citigroup PLN 3 Month Eurodeposit Local Currency;;;;;;;;228.4;0;0;;;;;;;Aviva Investors Lokacyjny;Aviva
243;Aviva Investors Stabilnego Inwestowania (Aviva Investors FIO);FIO;2002;;23.25;3;3.03;3.02;mieszane;1000;100;70% Citigroup Poland GBI 1 to 5 Year Local Terms;30% WIG;;;;;;;326.3;3;0;;;;ozn spada do 0.3% przy 1 000 000;;;Aviva Investors  Stabilnego Inwestowania;Aviva
244;Aviva Investors Zrównowa¿ony (Aviva Investors FIO);FIO;2006;;46.29;3.5;3.57;3.56;mieszane;1000;100;50% Citigroup Poland GBI 1 to 5 Year Local Terms;50% WIG;;;;;;;88.7;0;0;;;40%;20-60% w d³u¿ne;ozn spada do 0.25% przy 1 000 000;;Aviva Investors Zrównowa¿ony;Aviva
245;Aviva Oszczêdnoœciowy (Aviva SFIO);SFIO;2015;codziennie;0;0.95;0.9;1.59;absolutnej stopy zwrotu;1000;100;nie ma;;;;;;;;276.9;0;0;;;;min. 65% w Aviva Investors Multi-Strategy Target Return Fund;;;Aviva Oszczêdnoœciowy;Aviva
32;AXA Akcji (AXA FIO);FIO;2010;;80.7;4;4.23;4.15;akcji;500;100;95% WIG;5% WIBID O/N;#NAZWA?;;;;;;277;5;0;;;70%;ozn spada do 0.4% przy 1 000 000;;;AXA FIO Subfundusz Akcji;AXA
33;AXA Akcji Ma³ych i Œrednich Spó³ek (AXA FIO);FIO;2014;;87.99;4;4.29;3.98;akcji;500;100;90% mWIG40;10% WIBID O/N;#NAZWA?;;;;;;99.1;5;0;;;60%;ozn spada do 0.4% przy 1 000 000;;;AXA FIO Subfundusz Akcji Ma³ych I Œrednich Spó³ek;AXA
34;AXA Akcji Spó³ek Dywidendowych (AXA FIO);FIO;2014;;93.9;1.9;4.25;3.99;akcji;500;100;nie ma;;;;;;;;64.1;5;0;;;70%;ozn spada do 0.4% przy 1 000 000;;;AXA FIO Subfundusz Akcji Spó³ek Dywidendowych;AXA
246;AXA Lokacyjny (AXA FIO);FIO;2010;;;0.8;0.89;0.89;pieniê¿ne;500;100;100% WIBID 3M;#NAZWA?;;;;;;;356.5;0;0;;;;;;;AXA FIO Subfundusz Lokacyjny;AXA
247;AXA Obligacji (AXA FIO);FIO;2010;;;1.5;1.58;1.58;d³u¿ne;500;100;100% Treasury BondSpot Poland Index;#NAZWA?;;;;;;;519.9;2;0;;;;ozn spada do 0.2% przy 1 000 000;;;AXA FIO Subfundusz Obligacji;AXA
248;AXA Obligacji Korporacyjnych (AXA FIO);FIO;2010;;;1.5;1.65;1.64;d³u¿ne;500;100;100% WIBID 3M;+ 0.5 p.p.;#NAZWA?;;;;;;110.4;2;0;;;;ozn spada do 0.2% przy 1 000 000;min. 80% w d³u¿ne;;AXA FIO Subfundusz Obligacji Korporacyjnych;AXA
35;AXA Selective Equity (AXA FIO);FIO;2010;;93.84;4;4.48;4.21;akcji;500;100;nie ma;;;;;;;;126.6;5;0;;;70%;ozn spada do 0.4% przy 1 000 000;;;AXA FIO Subfundusz Selective Equity;AXA
36;AXA Selektywny Akcji Polskich (AXA FIO);FIO;2010;;79.18;4;4.36;4.16;akcji;500;100;95% WIG;5% WIBID O/N;#NAZWA?;;;;;;120.6;5;0;;;50%;ozn spada do 0.4% przy 1 000 000;;;AXA FIO Subfundusz Sektywny Akcji Polskich;AXA
249;AXA Stabilnego Wzrostu (AXA FIO);FIO;2010;;29.12;3.25;3.47;3.44;mieszane;500;100;nie ma;;;;;;;;93.6;4;0;;;10%;ozn spada do 0.3% przy 1 000 000;;;AXA FIO Subfundusz Stabilnego Wzrostu;AXA
250;BG¯ BNP Paribas Aktywnego Inwestowania (BG¯ BNP Paribas FIO);FIO;2016;;3;2.9;1.33;3.5;mieszane;200;100;15% WIG20;85% WIBID 6M;;;;;;;219.6;2;0;10%;ponad benchmark;;ozn spada do 0.4% przy 200 000;min. 40% w d³u¿ne;;BG¯ BNP Paribas FIO Subfundusz Aktywnego Inwestowania;BG¯ BNP
37;BG¯ BNP Paribas Dynamicznego Inwestowania (BG¯ BNP Paribas FIO);FIO;2016;;86.76;3.8;2.03;4.4;akcji;200;100;60% WIG20;30% mWIG40;10% WIBID O/N;;;;;;87.5;3;0;20%;ponad benchmark;70%;ozn spada do 0.5% przy 200 000;;;BG¯ BNP Paribas FIO Subfundusz Dynamicznego Inwestowania;BG¯ BNP
38;BG¯ BNP Paribas Globalny Dynamicznego Wzrostu (BG¯ BNP Paribas FIO);FIO;2016;;0;3.6;1.7;4.2;akcji;200;100;40% S&P500;30% Euro Stoxx 50;20% MSCI Emerging Markets;10% WIBID O/N;;;;;26.3;3;0;20%;ponad benchmark;;ozn spada do 0.5% przy 200 000;min. 66% w fndsze akcyjne;;BG¯ BNP Paribas FIO Subfundusz Globalny Dynamicznego Wzrostu;BG¯ BNP
251;BG¯ BNP Paribas Globalny Stabilnego Wzrostu (BG¯ BNP Paribas FIO);FIO;2016;;0;3;1.26;3.5;mieszane;200;100;30% Barclays US Aggregate Bond Index;30% Barclays Euro-Aggregate Bond Index;13% S&P500;10% Euro Stoxx 50;10% WIBID O/N;7% MSCI Emerging Markets;;;107.9;2;0;20%;ponad benchmark;max. 20%;ozn spada do 0.4% przy 200 000;;;BG¯ BNP Paribas FIO Subfundusz Globalny Stabilnego Wzrostu;BG¯ BNP
252;BG¯ BNP Paribas Obligacji (BG¯ BNP Paribas FIO);FIO;2016;;;1.5;;1.8;d³u¿ne;200;100;80% TBSP Index;20% WIBID O/N;;;;;;;146.8;2;0;20%;ponad benchmark;;ozn spada do 0.3% przy 200 000;min. 70% w d³u¿ne;;BG¯ BNP Paribas FIO Subfundusz Obligacji;BG¯ BNP
253;BG¯ BNP Paribas Pieniê¿ny (BG¯ BNP Paribas FIO);FIO;2016;;;1;0.96;1.2;pieniê¿ne;200;100;100% WIBID 6M;;;;;;;;487.1;0;0;;;;;min. 70% w d³u¿ne;;BG¯ BNP Paribas FIO Subfundusz Pieniê¿ny;BG¯ BNP
254;BG¯ BNP Paribas Stabilnego Inwestowania (BG¯ BNP Paribas FIO);FIO;2016;;30.46;3;1.21;3.4;mieszane;200;100;55% TBSP Index;30% WIG20;15% WIBID O/N;;;;;;10.1;2;0;20%;ponad benchmark;10%;ozn spada do 0.4% przy 200 000;;;BG¯ BNP Paribas FIO Subfundusz Stabilnego Inwestowania;BG¯ BNP
255;BG¯ Konserwatywny (BG¯ SFIO);SFIO;2014;;;0.4;0.67;2.26;d³u¿ne;100;100;nie ma;;;;;;;;41.7;0;0;;;;min. 90% w depozyty;;;BG¯ SFIO Konserwatywny;BG¯ BNP
39;BNP Paribas Akcji (BNP Paribas FIO);FIO;2005;;90.29;2;2.85;2.9;akcji;200;100;100% WIG20;;;;;;;;36.5;3;0;20%;ponad benchmark;70%;ozn spada do 0.5% przy 200 000;;;BNP Paribas FIO Subfundusz BNP Paribas Akcji;BNP
256;BNP Paribas Papierów D³u¿nych (BNP Paribas FIO);FIO;2010;;;1;1.7;2.02;d³u¿ne;200;100;100% Treasury BondSpot Poland;;;;;;;;15;2;0;10%;ponad benchmark;;ozn spada do 0.3% przy 200 000;min. 66% w d³u¿ne;;BNP Paribas FIO Subfundusz BNP Paribas Papierów D³u¿nych;BNP
257;BNP Paribas Stabilnego Wzrostu (BNP Paribas FIO);FIO;2005;;30.41;2;2.86;2.92;mieszane;200;100;55% TBSP Index;30% WIG20;15% WIBID O/N;;;;;;23.5;2;0;20%;ponad 85% inflacji + 20% WIG20;10%;ozn spada do 0.4% przy 200 000;;;BNP Paribas FIO Subfundusz BNP Paribas Stabilnego Wzrostu;BNP
40;BPH Akcji (BPH FIO Parasolowy);FIO;1999;;83.37;4;4.05;4.03;akcji;1000;100;95% WIG;5% WIBID 3M;;;;;;;149.5;4;0;;;70%;;;;Rockbridge Subfundusz Akcji;Rockbridge
41;BPH Akcji Dynamicznych Spó³ek (BPH FIO Parasolowy);FIO;2000;;77.82;4;4.07;4.02;akcji;1000;100;90% mWIG40;10% POLONIA;;;;;;;145.2;4;0;;;70%;;;;Rockbridge Subfundusz Akcji Dynamicznych Spó³ek;Rockbridge
42;BPH Akcji Globalny (BPH FIO Parasolowy);FIO;2009;;10.95;3;3.09;3.29;akcji;1000;100;90% MSCI World TR Gross USD (przeliczony na PLN);10% WIBID 3M;;;;;;;18.1;4;0;;;50%;;;;Rockbridge Subfundusz Akcji Globalny;Rockbridge
43;BPH Akcji Rynków Wschodz¹cych (BPH FIO Parasolowy);FIO;2001;;25.29;4;4.32;4.43;akcji;1000;100;90% MSCI Emerging Markets TR Gross USD (przeliczony na PLN);10% WIBID 3M;;;;;;;20.2;4;0;;;70%;;;;Rockbridge Subfundusz Akcji Rynków Wschodz¹cych;Rockbridge
44;BPH Dywidendowy (BPH FIO Parasolowy);FIO;2016;;77.35;3.5;4.33;5.99;akcji;1000;100;nie ma;;;;;;;;19;4;0;;;70%;;;;Rockbridge Subfundusz Dywidendowy;Rockbridge
258;BPH FIO Strategii Akcyjnej;FIO;2008;;61.99;2.5;2.64;2.6;absolutnej stopy zwrotu;1000;100;nie ma;;;;;;;;8.7;3;0;20%;ponad 8%;;;;;Rockbridge FIO Strategii Akcyjnej;Rockbridge
259;BPH Globalny ¯ywnoœci i Surowców (BPH FIO Parasolowy);FIO;2008;;30.85;3.75;3.93;4.22;inne;1000;100;75% Thomson Reuters/Jefferies CRB Excess Return;25% WIBID 3M;;;;;;;45.8;4;0;;;50%;;;;Rockbridge Subfundusz Globalny ¯ywnoœci i Surowców;Rockbridge
260;BPH Obligacji 1 (BPH FIO Parasolowy);FIO;1999;;;2;2;2.02;d³u¿ne;1000;100;70% Citigroup Poland Government Bond Index All Maturities Local Terms (SBPLL Index);30% WIBID 3M;;;;;;;178.2;1;0;;;;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Obligacji 1;Rockbridge
261;BPH Obligacji 2 (BPH FIO Parasolowy);FIO;1999;;;2;2.01;2.03;d³u¿ne;1000;100;70% Citigroup Poland Government Bond Index All Maturities Local Terms (SBPLL Index);30% WIBID 3M;;;;;;;97.9;1;0;;;;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Obligacji 2;Rockbridge
262;BPH Obligacji Korporacyjnych (BPH FIO Parasolowy);FIO;2010;;;1;1.02;1.02;d³u¿ne;1000;100;100% WIBID 6M;+ 1 p.p.;;;;;;;217.8;2;0;20%;ponad benchmark;;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Obligacji Korporacyjnych;Rockbridge
263;BPH Pieniê¿ny (BPH FIO Parasolowy);FIO;2014;;;0.8;0.81;0.81;pieniê¿ne;1000;100;100% WIBID 3M;;;;;;;;454;1;0;20%;ponad benchmark;;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Pieniê¿ny;Rockbridge
264;BPH Selektywny (BPH FIO Parasolowy);FIO;2009;;39.42;3;3.03;3.02;absolutnej stopy zwrotu;1000;100;nie ma;;;;;;;;107;4;0;;;;;;;Rockbridge Subfundusz Selektywny;Rockbridge
265;BPH Skarbowy (BPH FIO Parasolowy);FIO;1997;;;1.5;1.52;1.52;pieniê¿ne;1000;100;100% POLONIA;;;;;;;;214.4;1;1;;;;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Skarbowy;Rockbridge
266;BPH Stabilnego Wzrostu (BPH FIO Parasolowy);FIO;1997;;25.56;3;3.03;3.02;mieszane;1000;100;70% Merrill Lynch Polish Governments 1-4 Yrs;30% WIG;;;;;;;231.9;2;0;;;max. 40%;ozn spada do 0.35% przy 100 000;;;Rockbridge Subfundusz Stabilnego Wzrostu;Rockbridge
45;BPH Superior Akcji (BPH Superior FIO);FIO;2015;;79.2;0.7;1.21;1.2;akcji;500000;1000;95% WIG;5% WIBID 3M;;;;;;;6.8;0;0;25%;ponad benchmark;70%;;;;Rockbridge Subfundusz Superior Akcji;Rockbridge
267;BPH Superior Obligacji (BPH Superior FIO);FIO;2015;;;0.35;0.69;0.51;d³u¿ne;500000;1000;100% Citigroup Poland Government Bond Index All Maturities Local Terms;;;;;;;;13.7;0;0;25%;ponad benchmark;;min. 70% w d³u¿ne;;;Rockbridge Subfundusz Superior Obligacji;Rockbridge
268;BPH Superior Pieniê¿ny (BPH Superior FIO);FIO;2015;;;0.3;0.48;0.42;pieniê¿ne;500000;1000;100% WIBID 3M;;;;;;;;16.5;0;0;25%;ponad benchmark;;;;;Rockbridge Subfundusz Superior Pieniê¿ny;Rockbridge
269;BPH Superior Rynku Surowców (BPH Superior FIO);FIO;2016;;22.86;0.6;11.63;7.06;inne;500000;1000;75% Thomson Reuters/Jefferies CRB Excess Return;25% WIBID 3M;;;;;;;10.2;0;0;25%;ponad benchmark;;;;;Rockbridge Subfundusz Superior Rynku Surowców;Rockbridge
270;BPH Superior Selektywny (BPH Superior FIO);FIO;2015;;37.73;0.5;0.86;0.59;absolutnej stopy zwrotu;500000;1000;nie ma;;;;;;;;22;0;0;25%;powy¿ej 2x WIBID 1Y;;;;;Rockbridge Subfundusz Superior Selektywny;Rockbridge
271;BPH Zrównowa¿ony (BPH FIO Parasolowy);FIO;1999;;45.39;4;4.04;4.03;mieszane;1000;100;50% Merrill Lynch Polish Governments 1-4 Yrs;;;;;;;;183.1;3;0;;;max. 70%;;;;Rockbridge Subfundusz Zrównowa¿ony;Rockbridge
46;BPS Akcji (BPS FIO);FIO;2011;;95.78;4;4.13;4.16;akcji;100;50;95% WIG;5% WIBID 3M;;;;;;;23.3;4;0;;;60%;ozn spada do 0.6% przy 500 000;;;BPS Akcji;BPS
272;BPS Obligacji (BPS FIO);FIO;2011;;;1.2;1.25;1.26;d³u¿ne;100;50;80% Bloomberg Barclays Series E Poland Govt All> 1 Yr Bond Index;20% WIBID 3M;;;;;;;20.7;2;0;;;;ozn spada do 0.1% przy 500 000;min. 70% w d³u¿ne;;BPS Obligacji;BPS
273;BPS Obligacji Korporacyjnych (BPS SFIO);SFIO;2013;;;0.95;1.24;1.03;d³u¿ne;160000;10000;100% WIBID 6M;+ 1 p.p.;;;;;;;37.5;2;0;20%;ponad benchmark;;ozn spada do 0.1% przy 500 000;;;BPS Obligacji Korporacyjnych;BPS
274;BPS Pieniê¿ny (BPS FIO);FIO;2011;;;0.9;1.03;0.94;pieniê¿ne;100;50;100% WIBID 3M;;;;;;;;82;0;0;;;;;min. 70% w d³u¿ne;;BPS Pieniê¿ny;BPS
275;BPS P³ynnoœciowy (BPS SFIO);SFIO;2013;codziennie;;0.65;0.98;0.71;pieniê¿ne;100;50;;;;;;;;;;0;0;;;;;;;BPS P³ynnoœciowy;BPS
276;BPS Stabilnego Wzrostu (BPS FIO);FIO;2011;;28.49;2;2.87;2.23;mieszane;100;50;30% WIG + Bloomberg Barclays Series E Poland Govt All> 1 Yr Bond Index;20% WIBID 3M;;;;;;;13.6;3;0;;;œr. 30%;ozn spada do 0.15% przy 500 000;;;BPS Stabilnego Wzrostu;BPS
48;Caspar Akcji Polskich (Caspar Parasolowy FIO);FIO;2012;;91.64;3.5;4.29;4.23;akcji;1000;100;100% WIG;;;;;;;;26;4;0;;;50%;ozn spada do 0.25% przy 5 000 000;;;Caspar Akcji Polskich;Caspar
49;Caspar Akcji Tureckich (Caspar Parasolowy FIO);FIO;2012;;90.6;3.5;4.68;4.65;akcji;1000;100;100% MSCI Turkey Index net USD;;;;;;;;12.5;4;0;;;50%;ozn spada do 0.25% przy 5 000 000;;;Caspar Akcji Tureckich;Caspar
277;Caspar Globalny (Caspar Parasolowy FIO);FIO;2015;;0;1.95;3.05;2.87;mieszane;1000;100;70% MSCI ACWI (w PLN);30% WIBOR 12M;;;;;;;10.9;4;0;15%;ponad benchmark;;ozn spada do 0.25% przy 5 000 000;min. 50% w fundusze;;Caspar Globalny;Caspar
278;Caspar Ochrony Kapita³u (Caspar Parasolowy FIO);FIO;2014;;;0.05;0.48;0.17;d³u¿ne;1000;100;100% WIBID 3M;;;;;;;;9.8;0;0;;;;min. 60% w d³u¿ne;;;Caspar Ochrony Kapita³u;Caspar
50;Copernicus Akcji (Copernicus FIO);FIO;2010;;84.98;3.25;6.15;5.56;akcji;500;100;100% WIG;#NAZWA?;;;;;;;2.5;2;0;20%;ponad benchmark;66%;;;;Subfundusz Akcji;Copernicus
279;Copernicus D³u¿ny Skarbowy Plus (Copernicus FIO);FIO;2012;;;2;3.74;3.39;d³u¿ne;500;100;100% Merrill Lynch Polish Governments;;;;;;;;3.8;1;0;;;;min. 50% w d³u¿ne;;;Subfundusz D³u¿ny Skarbowy Plus;Copernicus
51;Copernicus Spó³ek Wzrostowych (Copernicus FIO);FIO;2010;;85.24;3.25;5.74;4.74;akcji;500;100;100% WIG;#NAZWA?;;;;;;;8.5;2;0;20%;ponad benchmark;60%;;;;Subfundusz Spó³ek Wzrostowych;Copernicus
52;Credit Agricole Akcji Nowej Europy (Credit Agricole FIO);FIO;2008;;87.48;3.95;4.87;4.41;akcji;1000;500;47.5% MSCI Emerging Europe ex Russia;47.5% Austria Index;5% WIBID O/N;;;;;;7.5;3;1;;;66%;ozn spada do 1.15% przy 200 000;ozu spada stopniowo do 0% po 3 latach;;Credit Agricole fio Subfundusz Credit Agricole Akcji Nowej Europy;Credit Agricole
53;Credit Agricole Akcyjny (Credit Agricole FIO);FIO;2006;;86.64;2.95;3.1;2.98;akcji;1000;500;75% WIG;10% MSCI Emerging Europe ex Russia;10% Austria Index;5% WIBID O/N;;;;;67.4;3;1;;;60%;ozn spada do 1.15% przy 200 000;ozu spada stopniowo do 0% po 3 latach;;Credit Agricole fio Subfundusz Credit Agricole Akcyjny;Credit Agricole
280;Credit Agricole Dynamiczny Polski (Credit Agricole FIO);FIO;2005;;50.06;2.75;2.88;2.8;mieszane;1000;500;45% WIG;5% MSCI Emerging Europe ex Russia;5% Austria Index;45% Merill Lynch Polish Governments;;;;;89.6;3;1;;;40%;ozn spada do 1.15% przy 200 000;ozu spada stopniowo do 0% po 3 latach;;Credit Agricole fio Subfundusz Credit Agricole Dynamiczny Polski;Credit Agricole
281;Credit Agricole Lokacyjny (Credit Agricole FIO);FIO;2006;;;1.95;1.96;1.96;pieniê¿ne;1000;500;100% WIBID 3M;;;;;;;;73.9;2;1;;;;ozn spada do 0.15% przy 200 000;ozu spada stopniowo do 0% po 3 latach;;Credit Agricole fio Subfundusz Credit Agricole Lokacyjny;Credit Agricole
282;Credit Agricole Stabilnego Wzrostu (Credit Agricole FIO);FIO;2003;;21.43;2.25;2.27;2.27;mieszane;1000;500;20% WIG;2.5% MSCI Emerging Europe ex Russia;2.5% Austria Index;75% Merill Lynch Polish Governments;;;;;301.3;3;1;;;max. 30%;ozn spada do 1.15% przy 200 000;ozu spada stopniowo do 0% po 3 latach;;Credit Agricole fio Subfundusz Credit Agricole Stabilnego Wzrostu;Credit Agricole
54;DB Fund Dynamiczny (DB Funds FIO);FIO;2012;;0;2;0.62;6.05;akcji;100;50;nie ma;;;;;;;;2.1;2;0;;;66%;;;;DB Funds FIO (Dynamiczny);DB Funds
283;DB Fund Globalny Zrównowa¿ony (DB Funds FIO);FIO;2012;;0;1.3;0.72;8.1;mieszane;100;50;nie ma;;;;;;;;1.4;2;0;;;;;;;DB Funds FIO (Globalny Zrównowa¿ony);DB Funds
284;DB Fund Instrumentów D³u¿nych (DB Funds FIO);FIO;2012;;;0.5;0.34;5.12;d³u¿ne;100;50;nie ma;;;;;;;;2.7;1;0;;;;min. 60% w d³u¿ne;;;DB Funds FIO (Instrumentów D³u¿nych);DB Funds
55;Eques Akcji (Eques SFIO);SFIO;2012;codziennie;92.46;4.25;6.74;6.15;akcji;100;50;90% WIG;10% WIBOR 3M;;;;;;;8.3;4;0;10%;wzrostu w ci¹gu roku;70%;ozn spada do 1.5% przy 100 000;;;Subfundusz EQUES Akcji SFIO;Eques
285;Eques Aktywnej Alokacji (Eques SFIO);SFIO;2012;codziennie;58.78;4;6.71;7.35;mieszane;100;50;nie ma;;;;;;;;4.4;3;0;10%;wzrostu w ci¹gu roku;;ozn spada do 1.3% przy 100 000;;;Subfundusz Eques Aktywnej Alokacji SFIO;Eques
286;Eques Obligacji (Eques SFIO);SFIO;2012;codziennie;;1.75;0.97;2.03;d³u¿ne;100;50;100% Bloomberg/EFFAS Bond Indices Poland Liquid All > 1 Yr;;;;;;;;5;1;0;5%;wzrostu w ci¹gu roku;;ozn spada do 0.35% przy 100 000;min. 50% w d³u¿ne;;Subfundusz EQUES Obligacji SFIO;Eques
287;Eques Pieniê¿ny (Eques SFIO);SFIO;2012;codziennie;;0.9;1.45;1.84;d³u¿ne;100;50;100% WIBOR 3M;;;;;;;;7;0;0;;;;min. 50% w d³u¿ne;;;Subfundusz EQUES Pieniê¿ny SFIO;Eques
288;Eurogeddon (Opera SFIO);SFIO;2009;tygodniowo;0;0;4.94;9.48;mieszane;160000;10000;nie ma;;;;;;;;0.6;2;0;25%;wzrostu w ci¹gu roku;;ozn spada do 0% przy 1 000 000;;;NA;Opera
289;Franklin Elastycznego Dochodu (FT FIO);FIO;2016;;;1.2;1.2;1.51;d³u¿ne;1000;100;nie ma;;;;;;;;33.2;2;0;;;;min. 50% w d³u¿ne;;;NA;Franklin
290;Franklin Zmiennej Alokacji (FT FIO);FIO;2016;;5.46;2.1;2.31;2.55;mieszane;1000;100;nie ma;;;;;;;;29;4;0;;;;;;;NA;Franklin
56;ING BSK Indeks MSCI EMU (ING BSK Fundusze Indeksowe SFIO);SFIO;2015;codziennie;0;1.6;1.96;1.85;akcji;100;50;100% MSCI EMU;;;;;;;;12.3;0;0;;;;min. 70% w Amundi Index MSCI EMU;;;ING BSK Indeks MSCI EMU;ING
57;ING BSK Indeks S&P 500 (ING BSK Fundusze Indeksowe SFIO);SFIO;2015;codziennie;0;1.6;1.84;1.85;akcji;100;50;100% S&P 500;;;;;;;;11.8;0;0;;;;min. 70% w Amundi Index S&P 500;;;ING BSK Indeks S&P 500;ING
58;ING BSK Indeks WIG 20 (ING BSK Fundusze Indeksowe SFIO);SFIO;2015;codziennie;0;1.6;1.85;1.85;akcji;100;50;100% WIG20;;;;;;;;21.5;0;0;;;;min. 70% w Structura Index Equity Poland;;;ING BSK Indeks WIG 20;ING
291;ING Pakiet Dynamiczny (ING Konto Funduszowe SFIO);SFIO;2015;codziennie;0;2.65;2.63;3.68;mieszane;100;50;nie ma;;;;;;;;15.7;0;0;;;65%;;;;ING Subfundusz Pakiet Dynamiczny;ING
292;ING Pakiet Ostro¿ny (ING Konto Funduszowe SFIO);SFIO;2015;codziennie;;1;1.06;1.36;d³u¿ne;100;50;nie ma;;;;;;;;79.8;0;0;;;;;;;ING Subfundusz Pakiet Ostro¿ny;ING
293;ING Pakiet Umiarkowany (ING Konto Funduszowe SFIO);SFIO;2015;codziennie;0;2.2;2.22;2.82;mieszane;100;50;nie ma;;;;;;;;40.1;0;0;;;30%;;;;ING Subfundusz Pakiet Umiarkowany;ING
59;Investor Akcji (Investor FIO);FIO;1998;;90.63;2.8;5.13;2.81;akcji;50;50;90% WIG;10% WIBID 6M;;;;;;;195.4;5;0;25%;ponad benchmark;50%;ozn spada do 0.5% przy 2 000 000;;;Investor Akcji;Investor
60;Investor Akcji Rynków Wschodz¹cych (Investor SFIO);SFIO;2015;codziennie;0;4;10.76;8.77;akcji;50;50;90% MSCI Emerging Markets;10% WIBID 6M;;;;;;;1.5;5;0;25%;ponad benchmark;70%;ozn spada do 0.5% przy 2 000 000;;;Investor Akcji Rynków Wschodz¹cych;Investor
61;Investor Akcji Spó³ek Dywidendowych (Investor FIO);FIO;1998;;88.39;4;3.46;4.02;akcji;50;50;90% WIG;10% WIBID 6M;;;;;;;113.9;5;0;;;70%;ozn spada do 0.5% przy 2 000 000;;;Investor Akcji Spó³ek Dywidendowych;Investor
62;Investor Akcji Spó³ek Wzrostowych (Investor SFIO);SFIO;2015;codziennie;95.04;4;15.36;6.3;akcji;50;50;90% WIG;10% WIBID 6M;;;;;;;9.4;5;0;25%;ponad benchmark;70%;ozn spada do 0.5% przy 2 000 000;;;Investor Akcji Spó³ek Wzrostowych;Investor
63;Investor Ameryka £aciñska (Investor SFIO);SFIO;2008;codziennie;0;4;4.08;4.7;akcji;50;50;90% MSCI EM LATIN AMERICA (przeliczony na polsk¹ walutê);10% WIBID 6M;;;;;;;13.6;5;0;;;;ozn spada do 0.5% przy 2 000 000;min. 70% w Deutsche Invest I Latin American Equities;;Investor Ameryka £aciñska;Investor
294;Investor Bezpiecznego Wzrostu (Investor SFIO);SFIO;2015;codziennie;;1;;1.5;mieszane;50;50;100% WIBID 6M;;;;;;;;30.6;0;0;25%;ponad benchmark;;;min. 80% w d³u¿ne;;Investor Bezpiecznego Wzrostu;Investor
64;Investor BRIC (Investor SFIO);SFIO;2008;codziennie;0;4;3.93;4.58;akcji;50;50;90% MSCI EM BRIC (przeliczony na polsk¹ walutê);10% WIBID 6M;;;;;;;16.7;5;0;;;;ozn spada do 0.5% przy 2 000 000;min. 70% w Deutsche Invest I Global Emerging Markets Equities, Deutsche Invest I Brazilian Equties, DWS India, DWS Russia, Deutsche Invest I Chinese Equities, Deutsche Invest I Emerging Markets Top Dividend oraz Deutsche Invest I Latin American Equities;;Investor BRIC;Investor
