Lp;Nazwa funduszu;Forma prawna;Zarz¹dzaj¹cy;Zarz¹dzaj¹cy od;;;;;;;;;;;Rok uruchomienia;Pierwsza wp³ata;Nastêpna wp³ata;Jak czêsto wycena SFIO;Aktywa;Typ;Benchmark;Benchmark_2;Benchmark_3;Benchmark_4;Benchmark_5;Benchmark_6;Benchmark_7;Benchmark_8;Polityka inwestycyjna (min. akcji);Udzia³ akcji;Op³ata za zarz¹dzanie;Op³ata za nabycie;Op³ata za umorzenie;Op³ata za wynik;Op³ata za wynik_2;TER;Op³aty bie¿¹ce;Inne;Inne_2;Inne_3;Nazwa IZFiA;TFI;
220;Amundi Stabilnego Wzrostu (Amundi Parasolowy FIO);FIO;Rafa³ Bogus³awski;1.2018;Hubert Kmiecik;1.2018;£ukasz Œliwka;1.2018;;;;;;;2014;500;100;codziennie;128.6;mieszane;nie ma;;;;;;;;0%;NA;2;5;0;20%;ponad EONIA + 5 p.p.;NA;2.28;max. 50% akcji;;;Amundi Subfundusz Stabilnego Wzrostu;Amundi;Globalnych Perspektyw Umiarkowany 1
221;Amundi Zrównowa¿ony (Amundi Parasolowy FIO);FIO;;;;;;;;;;;;;2014;500;100;;23;mieszane;50% WIG;50% Bloomberg Poland Local Sovereign Index 1 to 3 Year;;;;;;;30%;53.26;2.75;5;0;20%;ponad benchmark;3.46;3.38;max. 70% akcji;;;Amundi Subfundusz Zrównowa¿ony;Amundi;
;Arka BZ WBK Akcji Ma³ych i Œrednich Spó³ek;FIO;Jakub Plotka;11.2017;;;;;;;;;;;2017;1000;100;codziennie;103;akcji;60% mWIG40;30%sWIG80;10% WIBID O/N;;;;;;66%;87.45;4;3;1;;;NA;4.8;ozu 0-6 mcy;;;Arka BZ WBK Akcji Polskich Subfundusz;WBK;
19;Arka BZ WBK Akcji Polskich (Arka BZ WBK FIO);FIO;Szymon Borawski-Reks;8.2009;;;;;;;;;;;1998;1000;100;codziennie;920.2;akcji;95% WIG;5% WIBID O/N;;;;;;;66%;94.03;4;3;1;;;3.7;4.02;ozu 0-6 mcy;;;Arka BZ WBK Akcji Polskich Subfundusz;WBK;
20;Arka BZ WBK Akcji Œrodkowej i Wschodniej Europy (Arka BZ WBK FIO);FIO;Jacek Grel;5.2015;;;;;;;;;;;2006;1000;100;codziennie;155.4;akcji;40%WIG;25%BIST100;15%ATX;7.5%BUX;7.5%PX;5% WIBID O/N;;;50%;88.8;4;3;1;;;4.01;4.15;ozu 0-6 mcy;;;Arka BZ WBK Akcji Œrodkowej i Wschodniej Europy Subfundusz;WBK;
21;Arka BZ WBK Akcji Tureckich (Arka BZ WBK FIO);FIO;Bartosz Dêbowski;5.2015;;;;;;;;;;;2007;1000;100;codziennie;94.5;akcji;90% BIST 100 Index;10% WIBID O/N;;;;;;;66%;92.76;4;3;1;;;4.22;4.23;ozu 0-6 mcy;;;Arka BZ WBK Akcji Tureckich Subfundusz;WBK;
222;Arka BZ WBK Gotówkowy (Arka BZ WBK FIO);FIO;Pawe³ Pisarczyk;12.2014;;;;;;;;;;;1998;1000;100;codziennie;2170.9;pieniê¿ne;100% WIBID 3M;;;;;;;;;;1;3;1;;;0.93;1;ozu 0-6 mcy;;;Arka BZ WBK Gotówkowy Subfundusz;WBK;
223;Arka BZ WBK Obligacji Europejskich (Arka BZ WBK FIO);FIO;Micha³ Ho³da;1.2016;;;;;;;;;;;2003;1000;500;codziennie;70.9;d³u¿ne;100% ICE BofAML 1-10 Year Euro Broad Market Index (EMU5) zabezpieczony do z³otego;;;;;;;;;;1.6;3;1;;;1.54;1.64;ozu 0-6 mcy;;;Arka BZ WBK Obligacji Europejskich Subfundusz;WBK;
224;Arka BZ WBK Obligacji Korporacyjnych (Arka BZ WBK FIO);FIO;Pawe³ Pisarczyk;12.2014;;;;;;;;;;;2012;1000;100;codziennie;3151.2;d³u¿ne;100% WIBID 3M;+ 50 p.b.;;;;;;;;;1.9;3;1;;;1.78;1.9;ozu 0-6 mcy;;;Arka BZ WBK Obligacji Korporacyjnych Subfundusz;WBK;
225;Arka BZ WBK Obligacji Skarbowych (Arka BZ WBK FIO);FIO;Micha³ Ho³da;1.2016;;;;;;;;;;;2002;1000;100;codziennie;919.6;d³u¿ne;100% Merill Lynch Polish Governments;;;;;;;;;;1.7;3;1;;;1.66;1.71;ozu 0-6 mcy;;;Arka BZ WBK Obligacji Skarbowych Subfundusz;WBK;
226;Arka BZ WBK Stabilnego Wzrostu (Arka BZ WBK FIO);FIO;Micha³ Ho³da;1.2016;Bartosz Dêbowski;1.2017;;;;;;;;;1999;1000;100;codziennie;988.4;mieszane;67% Merill Lynch Polish Governments;33% WIG;;;;;;;;33.81;2.9;3;1;;;2.54;2.91;ozu 0-6 mcy;;;Arka BZ WBK Stabilnego Wzrostu Subfundusz;WBK;
227;Arka BZ WBK Zrównowa¿ony (Arka BZ WBK FIO);FIO;Pawe³ Pisarczyk;12.2014;Szymon Borawski-Reks;5.2015;;;;;;;;;1998;1000;100;codziennie;928.7;mieszane;45% Merill Lynch Polish Governments;55% WIG;;;;;;;30%;55.14;3.4;3;1;;;3.13;3.42;ozu 0-6 mcy;max. akcji 70%;;Arka BZ WBK Zrównowa¿ony Subfundusz;WBK;
227;Arka Platinum Dynamiczny (Arka BZ WBK FIO);FIO;Jacek Grel;10.2014;;;;;;;;;;;2007;1000;100;codziennie;48.5;mieszane;60% MSCI All Countries World Index;20% G0PL;10% BofA ML Global Government Bond;10% WIBID 3M;;;;;40%;1.86;2.8;3;1;;;2.77;3.34;ozu 0-6 mcy;max. akcji 70%;;Arka Platinum Dynamiczny;WBK;
229;Arka Platinum Konserwatywny (Arka BZ WBK FIO);FIO;Jacek Grel;10.2014;;;;;;;;;;;2012;1000;100;codziennie;178.8;mieszane;10% MSCI All Countries World Index;65% G0PL;15% BofA ML Global Government Bond;10% WIBID 3M;;;;;;0;1.8;3;1;;;1.71;1.82;ozu 0-6 mcy;max. akcji 20%;;Arka Platinum Konserwatywny;WBK;
230;Arka Platinum Stabilny (Arka BZ WBK FIO);FIO;Jacek Grel;10.2014;;;;;;;;;;;2006;1000;100;codziennie;81.6;mieszane;30% MSCI All Countries World Index;45% G0PL;15% BofA ML Global Government Bond;10% WIBID 3M;;;;;;1.3;2.3;3;1;;;2.24;2.34;ozu 0-6 mcy;max. akcji 40%;;Arka Platinum Stabilny;WBK;
;Arka Presti¿ Akcji Amerykañskich (Arka Presti¿ SFIO);SFIO;Jacek Grel;1.2018;;;;;;;;;;;2018;10000;1000;codziennie;3.5;akcji;95% MSCI USA Index USD;5% 3M WIBID;;;;;;;30%;NA;2.5;2;1;2%;;NA;3.5;70-100% w Santander AM Euro Equity;ozu 0-6 mcy;;Arka Presti¿ Akcji Europejskich;WBK;
22;Arka Presti¿ Akcji Europejskich (Arka Presti¿ SFIO);SFIO;Jacek Grel;5.2016;;;;;;;;;;;2016;10000;1000;codziennie;127.6;akcji;nie ma;;;;;;;;;0;2.5;2;1;;;2.69;3.33;70-100% w Santander AM Euro Equity;ozu 0-6 mcy;;Arka Presti¿ Akcji Europejskich;WBK;
23;Arka Presti¿ Akcji Polskich (Arka Presti¿ SFIO);SFIO;Szymon Borawski-Reks;11.201;;;;;;;;;;;2010;10000;1000;codziennie;354.4;akcji;95% WIG;10% WIBID O/N;;;;;;;66%;94.68;3;2;1;;;3;3;ozu 0-6 mcy;;;Arka Presti¿ Akcji Polskich Subfundusz;WBK;
;Arka Presti¿ Akcji Rynków Wschodz¹cych (Arka Presti¿ SFIO);SFIO;Jacek Grel;1.2018;;;;;;;;;;;2018;10000;1000;codziennie;1.3;akcji;95% MSCI Emerging Markets Index USD;5% 3M WIBID;;;;;;;66%;NA;2.5;2;1;2%;;NA;3.5;ozu 0-6 mcy;;;Arka Presti¿ Akcji Œrodkowej i Wschodniej Europy Subfundusz;WBK;
24;Arka Presti¿ Akcji Œrodkowej i Wschodniej Europy (Arka Presti¿ SFIO);SFIO;Jacek Grel;1.2013;;;;;;;;;;;2010;10000;1000;codziennie;42.1;akcji;40% BIST 100 (w EUR);35% ATX (w EUR);12% PX;10% BUX;5% WIBID O/N;;;;66%;90.74;3;2;1;;;3.54;3.27;ozu 0-6 mcy;;;Arka Presti¿ Akcji Œrodkowej i Wschodniej Europy Subfundusz;WBK;
;Arka Presti¿ Afla;SFIO;Jakub Plotka;1.2018;;;;;;;;;;;2018;10000;1000;codziennie;125.3;absolutnej stopy zwrotu;100%WIBID3M;;;;;;;;50%;NA;2;2;1;2%;;NA;3;;;;;;
25;Arka Presti¿ Europejskich Spó³ek Dywidendowych (Arka Presti¿ SFIO);SFIO;Jacek Grel;5.2016;;;;;;;;;;;2016;10000;1000;codziennie;34.2;akcji;nie ma;;;;;;;;;0;2.5;2;1;;;2.87;3.58;70-100% w Santander European Dividend;ozu 0-6 mcy;;Arka Presti¿ Europejskich Spó³ek Dywidendowych;WBK;
231;Arka Presti¿ Gotówkowy (Arka Presti¿ SFIO);SFIO;Pawe³ Pisarczyk;12.2014;;;;;;;;;;;2013;10000;1000;codziennie;934.7;pieniê¿ne;100% WIBID 3M;;;;;;;;;;0.8;2;1;;;0.95;0.95;ozu 0-6 mcy;;;Arka Presti¿ Gotówkowy;WBK;
232;Arka Presti¿ Obligacji Korporacyjnych (Arka Presti¿ SFIO);SFIO;Pawe³ Pisarczyk;12.2014;;;;;;;;;;;2011;10000;1000;codziennie;4278.4;d³u¿ne;100% WIBID 3M;+ 100 p.b.;;;;;;;;;1.8;2;1;;;1.8;1.8;ozu 0-6 mcy;min. 80% w d³u¿ne;;Arka Presti¿ Obligacji Korporacyjnych Subfundusz;WBK;
;Arka Presti¿ Obligacji Korporacyjnych Globalny (Arka Presti¿ SFIO);SFIO;Pawe³ Pisarczyk;12.2014;;;;;;;;;;;2018;20000;1000;codziennie;2;d³u¿ne;95% BofA Merrill Lynch Global Corporate Index zabezpieczony do z³otego;5% 3M WIBID;;;;;;;;NA;1;2;1;2%;;NA;2;ozu 0-6 mcy;min. 80% w d³u¿ne;;Arka Presti¿ Obligacji Korporacyjnych Subfundusz;WBK;
;Arka Presti¿ Technologii i Innowacji;SFIO;Jacek Grel;2.2018;;;;;;;;;;;2018;10000;1000;codziennie;3.2;akcji;70% MSCI World Information Technology Index USD;25% WIG Informatyka;5% 3M WIBID;;;;;;60%;NA;2.5;2;1;2%;;NA;3.5;;;;;;
233;Arka Presti¿ Obligacji Skarbowych (Arka Presti¿ SFIO);SFIO;Micha³ Ho³da;1.2016;;;;;;;;;;;2010;10000;1000;codziennie;314.2;d³u¿ne;100% Merill Lynch Polish Governments;;;;;;;;;;1.5;2;1;;;1.5;1.51;ozu 0-6 mcy;min. 80% w d³u¿ne;;Arka Presti¿ Obligacji Skarbowych Subfundusz;WBK;
;Arka Presti¿ Strategia Akcyjna;SFIO;Jacek Grel;2.2018;Szymon Borawski-Reks;2.2018;Bartosz Dêbowski;2.2018;Micha³ Ho³da;2.2018;Pawe³ Pisarczyk;2.2018;Jakub P³otka;2.2018;2018;1000;500;codziennie;1.1;akcji;nie ma;;;;;;;;35%;NA;0.4;2;1;;;NA;1.4;;;;;;
;Arka Presti¿ Strategia Dynamiczna;SFIO;Jacek Grel;2.2018;Szymon Borawski-Reks;2.2018;Bartosz Dêbowski;2.2018;Micha³ Ho³da;2.2018;Pawe³ Pisarczyk;2.2018;Jakub P³otka;2.2018;2018;1000;500;codziennie;1.7;mieszane;nie ma;;;;;;;;20%;NA;0.3;2;1;;;NA;1.3;;;;;;
;Arka Presti¿ Strategia Konserwatywna;SFIO;Jacek Grel;2.2018;Szymon Borawski-Reks;2.2018;Bartosz Dêbowski;2.2018;Micha³ Ho³da;2.2018;Pawe³ Pisarczyk;2.2018;Jakub P³otka;2.2018;2018;1000;500;codziennie;20;mieszane;nie ma;;;;;;;;28%;NA;0.1;2;1;;;NA;1.1;;;;;;
;Arka Presti¿ Strategia Stabilna;SFIO;Jacek Grel;2.2018;Szymon Borawski-Reks;2.2018;Bartosz Dêbowski;2.2018;Micha³ Ho³da;2.2018;Pawe³ Pisarczyk;2.2018;Jakub P³otka;2.2018;2018;1000;500;codziennie;3.4;mieszane;nie ma;;;;;;;;14%;NA;0.2;2;1;;;NA;1.2;;;;;;
26;Aviva Investors Akcji Europy Wschodz¹cej (Aviva Investors FIO);FIO;Dawid Fr¹czek;4.2008;Rafa³ Janczyk;4.2008;£ukasz Kurek;4.2008;Marek KaŸmierczak;3.2011;Piotr Friebe;10.2015;;;2008;1000;100;codziennie;9.8;akcji;nie ma;;;;;;;;75%;44.29;4;4.5;0;;;4.38;4.52;ozn spada do 0.4% przy 1 000 000;;;;Aviva;Europejskich Akcji
27;Aviva Investors Akcji Rynków Wschodz¹cych (Aviva Investors FIO);FIO;Dawid Fr¹czek;5.2011;Rafa³ Janczyk;5.2011;Marek KaŸmierczak;5.2011;£ukasz Kurek;5.2011;Piotr Friebe;10.2015;;;2011;1000;100;codziennie;26.2;akcji;nie ma;;;;;;;;;0;2;3;0;;;2.25;2.97;ozn spada do 0.3% przy 1 000 000;g³ównie fundusze zagraniczne Aviva;;;Aviva;
234;Aviva Investors Aktywnej Alokacji (Aviva Investors FIO);FIO;Marcin Mê¿ykowski;4.2008;Grzegorz Lata³a;4.2008;Rados³aw Ga³ecki;3.2013;;;;;;;2004;1000;100;codziennie;127;mieszane;nie ma;;;;;;;;0%;0;2;1;0;10%;wzrostu w ci¹gu roku;2.85;2.07;ozn spada do 0.1% przy 1 000 000;;;Aviva Investors FIO Aktywnej Alokacji;Aviva;
;Aviva Investors Depozytowy (Aviva Investors FIO);FIO;Marcin Mê¿ykowski;12.2017;Grzegorz Lata³a;12.2017;Rados³aw Ga³ecki;12.2017;;;;;;;2014;1000;100;codziennie;14.3;pieniê¿ne;100% Citigroup PLN 3 Month Eurodeposit Local Currency;;;;;;;;;;0.8;0;0;;;NA;1.16;;;;Aviva Investors Depozyt Plus;Aviva;
235;Aviva Investors Depozyt Plus (Aviva Investors FIO);FIO;Marcin Mê¿ykowski;11.2007;Grzegorz Lata³a;7.2003;Rados³aw Ga³ecki;3.201;;;;;;;2002;1000;100;codziennie;185.6;pieniê¿ne;100% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;;;;;;1;1;0;;;1.01;1.01;ozn tylko do 5 000;;;Aviva Investors Depozyt Plus;Aviva;
236;Aviva Investors D³u¿nych Papierów Korporacyjnych (Aviva Investors FIO);FIO;Marcin Mê¿ykowski;11.2011;Grzegorz Lata³a;11.2011;Rados³aw Ga³ecki;11.2011;;;;;;;2011;1000;100;codziennie;1086.4;d³u¿ne;100% Citigroup PLN 6 Month Eurodeposit Local Currency;0.60%;;;;;;;;;1;1;0;10%;wzrostu ponad Citigroup PLN 3 Month Eur Deposit Local Currency;1.18;1.01;ozn tylko do 5 000;;;Aviva Investors D³u¿nych Papierów Korporacyjnych;Aviva;
28;Aviva Investors Ma³ych Spó³ek (Aviva Investors FIO);FIO;Dawid Fr¹czek;4.2008;Rafa³ Janczyk;4.2008;Marek KaŸmierczak;3.2011;£ukasz Kurek;4.2008;Piotr Friebe;10.2015;;;2008;1000;100;codziennie;117.6;akcji;90% sWIG80;10% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;;;60%;87.74;4;4.5;0;;;4.03;4.03;ozn spada do 0.4% przy 1 000 000;;;Aviva Investors Ma³ych Spó³ek;Aviva;
29;Aviva Investors Nowoczesnych Technologii (Aviva Investors FIO);FIO;Dawid Fr¹czek;4.2008;Rafa³ Janczyk;4.2008;Marek KaŸmierczak;3.2011;£ukasz Kurek;4.2008;Piotr Friebe;10.2015;;;2008;1000;100;codziennie;123.2;akcji;40% WIG;25% WIG Media;25% WIG Informatyka;10% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;60%;86.32;4;4.5;0;;;4.04;4.04;ozn spada do 0.4% przy 1 000 000;;;Aviva Investors Nowoczesnych Technologii;Aviva;
30;Aviva Investors Nowych Spó³ek (Aviva Investors FIO);FIO;Dawid Fr¹czek;4.2008;Rafa³ Janczyk;4.2008;Marek KaŸmierczak;3.2011;£ukasz Kurek;4.2008;Piotr Friebe;10.2015;;;2008;1000;100;codziennie;96.1;akcji;90% WIG;10% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;;;60%;88.43;4;4.5;0;;;4.04;4.04;ozn spada do 0.4% przy 1 000 000;;;Aviva Investors Nowych Spó³ek;Aviva;
237;Aviva Investors Obligacji (Aviva Investors FIO);FIO;Marcin Mê¿ykowski;11.2007;Grzegorz Lata³a;7.2003;Rados³aw Ga³ecki;3.201;;;;;;;2002;1000;100;codziennie;726.3;d³u¿ne;80% Citigroup Poland Government Bond Index All Maturities Local;20% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;;;;;1.75;2;0;;;1.76;1.76;ozn spada do 0.25% przy 1 000 000;min. 70% d³u¿nych;;Aviva Investors  Obligacji;Aviva;
238;Aviva Investors Obligacji Dynamiczny (Aviva Investors FIO);FIO;Marcin Mê¿ykowski;11.2011;Grzegorz Lata³a;11.2011;Rados³aw Ga³ecki;11.2011;;;;;;;2011;1000;100;codziennie;565.8;d³u¿ne;nie ma;;;;;;;;;;1.5;2;0;10%;wzrostu ponad Citigroup PLN 3 Month Eur Deposit Local Currency;1.81;1.52;ozn spada do 0.25% przy 1 000 000;min. 50% d³u¿nych;;Aviva Investors Obligacji Dynamiczny;Aviva;
239;Aviva Investors Obligacji Zamiennych (Aviva Investors FIO);FIO;;;;;;;;;;;;;2014;1000;100;;4.1;d³u¿ne;nie ma;;;;;;;;;;1.75;2;0;20%;wzrostu ponad Citigroup PLN 3 Month Eur Deposit Local Currency;1.97;1.98;ozn spada do 0.25% przy 1 000 000;;;Aviva Investors Obligacji Zamiennych;Aviva;
240;Aviva Investors Ochrony Kapita³u Plus (Aviva Investors FIO);FIO;Dawid Fr¹czek;4.2008;Rafa³ Janczyk;10.2008;Marek KaŸmierczak;3.2011;£ukasz Kurek;4.2008;Piotr Friebe;10.2015;;;2004;1000;100;codziennie;54.2;mieszane;80% Citigroup Poland GBI 1 to 5 Year Local Terms;20% WIG;;;;;;;max. 30%;25.96;2.5;2.5;0;;;2.55;2.55;ozn spada do 0.25% przy 1 000 000;;;Aviva Investors Ochrony Kapita³u Plus;Aviva;
241;Aviva Investors Optymalnego Wzrostu (Aviva Investors FIO);FIO;Dawid Fr¹czek;5.201;Rafa³ Janczyk;5.201;Marek KaŸmierczak;3.2011;£ukasz Kurek;5.201;Piotr Friebe;10.2015;;;2010;1000;100;codziennie;20.7;mieszane;nie ma;;;;;;;;;85.55;2.5;3.5;0;10%;wzrostu w ci¹gu roku;2.61;2.61;ozn spada do 0.3% przy 1 000 000;;;Aviva Investors Optymalnego Wzrostu;Aviva;
31;Aviva Investors Polskich Akcji (Aviva Investors FIO);FIO;;;;;;;;;;;;;2002;1000;100;;873.7;akcji;90% WIG;10% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;;;60%;81.18;4;5;0;;;4.05;4.02;ozn spada do 0.4% przy 1 000 000;;;Aviva Investors  Polskich Akcji;Aviva;
242;Aviva Investors SFIO Lokacyjny;SFIO;;;;;;;;;;;;;2016;500000;1000;;228.4;d³u¿ne;100% Citigroup PLN 3 Month Eurodeposit Local Currency;;;;;;;;;;0.25;0;0;;;;0.27;;;;Aviva Investors Lokacyjny;Aviva;
243;Aviva Investors Stabilnego Inwestowania (Aviva Investors FIO);FIO;;;;;;;;;;;;;2002;1000;100;;326.3;mieszane;70% Citigroup Poland GBI 1 to 5 Year Local Terms;30% WIG;;;;;;;;23.25;3;3;0;;;3.03;3.02;ozn spada do 0.3% przy 1 000 000;;;Aviva Investors  Stabilnego Inwestowania;Aviva;
244;Aviva Investors Zrównowa¿ony (Aviva Investors FIO);FIO;;;;;;;;;;;;;2006;1000;100;;88.7;mieszane;50% Citigroup Poland GBI 1 to 5 Year Local Terms;50% WIG;;;;;;;40%;46.29;3.5;0;0;;;3.57;3.56;20-60% w d³u¿ne;ozn spada do 0.25% przy 1 000 000;;Aviva Investors Zrównowa¿ony;Aviva;
245;Aviva Oszczêdnoœciowy (Aviva SFIO);SFIO;;;;;;;;;;;;;2015;1000;100;codziennie;276.9;absolutnej stopy zwrotu;nie ma;;;;;;;;;0;0.95;0;0;;;0.9;1.59;min. 65% w Aviva Investors Multi-Strategy Target Return Fund;;;Aviva Oszczêdnoœciowy;Aviva;
32;AXA Akcji (AXA FIO);FIO;;;;;;;;;;;;;2010;500;100;;277;akcji;95% WIG;5% WIBID O/N;#NAZWA?;;;;;;70%;80.7;4;5;0;;;4.23;4.15;ozn spada do 0.4% przy 1 000 000;;;AXA FIO Subfundusz Akcji;AXA;
33;AXA Akcji Ma³ych i Œrednich Spó³ek (AXA FIO);FIO;;;;;;;;;;;;;2014;500;100;;99.1;akcji;90% mWIG40;10% WIBID O/N;#NAZWA?;;;;;;60%;87.99;4;5;0;;;4.29;3.98;ozn spada do 0.4% przy 1 000 000;;;AXA FIO Subfundusz Akcji Ma³ych I Œrednich Spó³ek;AXA;
34;AXA Akcji Spó³ek Dywidendowych (AXA FIO);FIO;;;;;;;;;;;;;2014;500;100;;64.1;akcji;nie ma;;;;;;;;70%;93.9;1.9;5;0;;;4.25;3.99;ozn spada do 0.4% przy 1 000 000;;;AXA FIO Subfundusz Akcji Spó³ek Dywidendowych;AXA;
246;AXA Lokacyjny (AXA FIO);FIO;;;;;;;;;;;;;2010;500;100;;356.5;pieniê¿ne;100% WIBID 3M;#NAZWA?;;;;;;;;;0.8;0;0;;;0.89;0.89;;;;AXA FIO Subfundusz Lokacyjny;AXA;
;AXA Makro Alokacji;;;;;;;;;;;;;;;500;100;;114.4;;nie ma;;;;;;;;30%;;;4;0;;;;;ozn do 0.35% przy 1 000 000;;;AXA FIO Subfundusz Makro Alokacji;AXA;
247;AXA Obligacji (AXA FIO);FIO;;;;;;;;;;;;;2010;500;100;;519.9;d³u¿ne;100% Treasury BondSpot Poland Index;#NAZWA?;;;;;;;;;1.5;2;0;;;1.58;1.58;ozn spada do 0.2% przy 1 000 000;;;AXA FIO Subfundusz Obligacji;AXA;
248;AXA Obligacji Korporacyjnych (AXA FIO);FIO;;;;;;;;;;;;;2010;500;100;;110.4;d³u¿ne;100% WIBID 3M;+ 0.5 p.p.;#NAZWA?;;;;;;;;1.5;2;0;;;1.65;1.64;ozn spada do 0.2% przy 1 000 000;min. 80% w d³u¿ne;;AXA FIO Subfundusz Obligacji Korporacyjnych;AXA;
35;AXA Selective Equity (AXA FIO);FIO;;;;;;;;;;;;;2010;500;100;;126.6;akcji;nie ma;;;;;;;;70%;93.84;4;5;0;;;4.48;4.21;ozn spada do 0.4% przy 1 000 000;;;AXA FIO Subfundusz Selective Equity;AXA;
36;AXA Selektywny Akcji Polskich (AXA FIO);FIO;;;;;;;;;;;;;2010;500;100;;120.6;akcji;95% WIG;5% WIBID O/N;#NAZWA?;;;;;;50%;79.18;4;5;0;;;4.36;4.16;ozn spada do 0.4% przy 1 000 000;;;AXA FIO Subfundusz Sektywny Akcji Polskich;AXA;
249;AXA Stabilnego Wzrostu (AXA FIO);FIO;;;;;;;;;;;;;2010;500;100;;93.6;mieszane;nie ma;;;;;;;;10%;29.12;3.25;4;0;;;3.47;3.44;ozn spada do 0.3% przy 1 000 000;;;AXA FIO Subfundusz Stabilnego Wzrostu;AXA;
250;BG¯ BNP Paribas Aktywnego Inwestowania (BG¯ BNP Paribas FIO);FIO;;;;;;;;;;;;;2016;200;100;;219.6;mieszane;15% WIG20;85% WIBID 6M;;;;;;;;3;2.9;2;0;10%;ponad benchmark;1.33;3.5;ozn spada do 0.4% przy 200 000;min. 40% w d³u¿ne;;BG¯ BNP Paribas FIO Subfundusz Aktywnego Inwestowania;BG¯ BNP;
37;BG¯ BNP Paribas Dynamicznego Inwestowania (BG¯ BNP Paribas FIO);FIO;;;;;;;;;;;;;2016;200;100;;87.5;akcji;60% WIG20;30% mWIG40;10% WIBID O/N;;;;;;70%;86.76;3.8;3;0;20%;ponad benchmark;2.03;4.4;ozn spada do 0.5% przy 200 000;;;BG¯ BNP Paribas FIO Subfundusz Dynamicznego Inwestowania;BG¯ BNP;
38;BG¯ BNP Paribas Globalny Dynamicznego Wzrostu (BG¯ BNP Paribas FIO);FIO;;;;;;;;;;;;;2016;200;100;;26.3;akcji;40% S&P500;30% Euro Stoxx 50;20% MSCI Emerging Markets;10% WIBID O/N;;;;;;0;3.6;3;0;20%;ponad benchmark;1.7;4.2;ozn spada do 0.5% przy 200 000;min. 66% w fndsze akcyjne;;BG¯ BNP Paribas FIO Subfundusz Globalny Dynamicznego Wzrostu;BG¯ BNP;
251;BG¯ BNP Paribas Globalny Stabilnego Wzrostu (BG¯ BNP Paribas FIO);FIO;;;;;;;;;;;;;2016;200;100;;107.9;mieszane;30% Barclays US Aggregate Bond Index;30% Barclays Euro-Aggregate Bond Index;13% S&P500;10% Euro Stoxx 50;10% WIBID O/N;7% MSCI Emerging Markets;;;max. 20%;0;3;2;0;20%;ponad benchmark;1.26;3.5;ozn spada do 0.4% przy 200 000;;;BG¯ BNP Paribas FIO Subfundusz Globalny Stabilnego Wzrostu;BG¯ BNP;
252;BG¯ BNP Paribas Obligacji (BG¯ BNP Paribas FIO);FIO;;;;;;;;;;;;;2016;200;100;;146.8;d³u¿ne;80% TBSP Index;20% WIBID O/N;;;;;;;;;1.5;2;0;20%;ponad benchmark;;1.8;ozn spada do 0.3% przy 200 000;min. 70% w d³u¿ne;;BG¯ BNP Paribas FIO Subfundusz Obligacji;BG¯ BNP;
253;BG¯ BNP Paribas Pieniê¿ny (BG¯ BNP Paribas FIO);FIO;;;;;;;;;;;;;2016;200;100;;487.1;pieniê¿ne;100% WIBID 6M;;;;;;;;;;1;0;0;;;0.96;1.2;;min. 70% w d³u¿ne;;BG¯ BNP Paribas FIO Subfundusz Pieniê¿ny;BG¯ BNP;
254;BG¯ BNP Paribas Stabilnego Inwestowania (BG¯ BNP Paribas FIO);FIO;;;;;;;;;;;;;2016;200;100;;10.1;mieszane;55% TBSP Index;30% WIG20;15% WIBID O/N;;;;;;10%;30.46;3;2;0;20%;ponad benchmark;1.21;3.4;ozn spada do 0.4% przy 200 000;;;BG¯ BNP Paribas FIO Subfundusz Stabilnego Inwestowania;BG¯ BNP;
255;BG¯ Konserwatywny (BG¯ SFIO);SFIO;;;;;;;;;;;;;2014;100;100;;41.7;d³u¿ne;nie ma;;;;;;;;;;0.4;0;0;;;0.67;2.26;min. 90% w depozyty;;;BG¯ SFIO Konserwatywny;BG¯ BNP;
39;BNP Paribas Akcji (BNP Paribas FIO);FIO;;;;;;;;;;;;;2005;200;100;;36.5;akcji;100% WIG20;;;;;;;;70%;90.29;2;3;0;20%;ponad benchmark;2.85;2.9;ozn spada do 0.5% przy 200 000;;;BNP Paribas FIO Subfundusz BNP Paribas Akcji;BNP;
256;BNP Paribas Papierów D³u¿nych (BNP Paribas FIO);FIO;;;;;;;;;;;;;2010;200;100;;15;d³u¿ne;100% Treasury BondSpot Poland;;;;;;;;;;1;2;0;10%;ponad benchmark;1.7;2.02;ozn spada do 0.3% przy 200 000;min. 66% w d³u¿ne;;BNP Paribas FIO Subfundusz BNP Paribas Papierów D³u¿nych;BNP;
257;BNP Paribas Stabilnego Wzrostu (BNP Paribas FIO);FIO;;;;;;;;;;;;;2005;200;100;;23.5;mieszane;55% TBSP Index;30% WIG20;15% WIBID O/N;;;;;;10%;30.41;2;2;0;20%;ponad 85% inflacji + 20% WIG20;2.86;2.92;ozn spada do 0.4% przy 200 000;;;BNP Paribas FIO Subfundusz BNP Paribas Stabilnego Wzrostu;BNP;
